feature,coefficient,weight_pct,direction
def_pass_epa_l8_diff,-0.28025035448475505,21.331803697807526,away-positive
total_epa_l8_diff,0.2198900822869896,16.737363558610472,home-positive
success_rate_l8_diff,0.16638299445553742,12.664566947307796,home-positive
success_rate_ewm_diff,0.1287665717437648,9.801319382192112,home-positive
wp_added_l5_diff,0.09949198689148214,7.573027116329258,home-positive
sack_rate_l5_diff,-0.09763953541649148,7.432024150260344,away-positive
def_turnovers_per_drive_ewm_diff,0.08586351883776286,6.535669623032687,home-positive
def_turnovers_per_drive_l8_diff,-0.06949162106471259,5.2894906124927425,away-positive
success_rate_l5_diff,-0.06906857847443801,5.257289898569863,away-positive
cpoe_l8_diff,0.05185143303399502,3.946773209135629,home-positive
explosive_pass_rate_l8_diff,0.04507105929181138,3.430671804261588,home-positive
