season,games,winner_accuracy,log_loss,margin_mae,margin_rmse,total_mae,total_rmse
2001,259,0.5405405405405406,1.472088749419647,17.074873930318905,21.784192850893078,15.250111376633834,19.007406448602342
2002,267,0.5205992509363296,1.4576298531194392,15.214276839736646,19.163736427224396,16.443720309301842,20.424604854944484
2003,267,0.5355805243445693,1.1823481756689467,15.075558236095999,19.31511859103902,17.47347364688288,21.412962927768547
2004,267,0.5393258426966292,1.176572363008975,13.833387357867979,17.194650619860592,13.698649118100619,17.071913189741238
2005,267,0.6142322097378277,0.8148228887027805,12.512416562155494,15.576467427570421,11.968415235230662,15.174567221122738
2006,267,0.5692883895131086,1.6547907269777125,28.092641608246176,34.025332503184664,27.791689800589992,34.957474140637785
2007,267,0.5692883895131086,1.1298230007274126,13.765696800370804,17.211528820491193,14.67600133273188,19.05545111298955
2008,267,0.5730337078651685,0.9289563507377907,13.752309610540019,17.315774630954046,13.214359914617459,16.708913993326085
2009,267,0.651685393258427,0.8072203043350898,12.938445378066627,16.28479735575821,12.167850317755251,15.688451904210533
2010,267,0.5393258426966292,0.928571890625482,13.304464784692714,16.836554006313882,12.288952283154897,15.833137010411884
2011,267,0.5955056179775281,0.7521499999116303,12.304594400408659,15.521060867958461,11.45069758611858,14.692977479162472
2012,267,0.5543071161048689,0.7234540243193578,11.699856751656922,15.145244665089988,11.917816242427264,14.955780736736559
2013,267,0.5917602996254682,0.7207803058686019,11.208171931105202,14.427473897064772,11.490112860471406,14.68604041296592
2014,267,0.602996254681648,0.7230097976060101,12.425421524906668,15.759240487944668,12.222461128894798,14.516092954942943
2015,267,0.5917602996254682,0.811784301638003,12.071147698460697,15.039831882171551,11.612747475764163,14.623842502971687
2016,267,0.6179775280898876,0.6893249911089094,10.430480217421591,13.011647879259732,10.820108558320369,13.439834705384762
2017,267,0.6292134831460674,0.7117051703779455,11.628758629440075,15.039887472228239,11.8118509784687,15.071355947371492
2018,267,0.6254681647940075,0.7075558029687585,11.022546853956767,14.206176018488762,11.551521556881625,14.807169619329207
2019,267,0.6179775280898876,0.70917536091044,11.3722354421757,14.257593417231426,11.201161156236795,14.07812125675081
2020,269,0.6171003717472119,0.6827371818319087,10.700413494028458,13.704117299239341,11.768552115377656,14.390629249722839
2021,285,0.5859649122807018,0.7333840476185222,11.583923773325193,14.800770048204283,11.475707737048594,13.964610160226439
2022,284,0.6267605633802817,0.6852837784769544,9.85312145418195,12.800541413539804,11.039839521730313,14.065623038909816
2023,285,0.5859649122807018,0.7107261713612342,11.046620978396518,14.246505158611567,10.746048380159786,13.579465427808477
2024,285,0.631578947368421,0.7070812604879154,10.954374529857555,13.760639570323358,10.277172493412749,13.308927686302129
2025,285,0.656140350877193,0.6365326373299517,10.315098382485797,13.283078449658184,11.535855432797067,14.422637951914266
2026,33,0.45454545454545453,0.8296765104040713,13.95200639199846,15.843782611860991,13.181829072460657,17.33185150390343
