season,games,accuracy,log_loss,brier
2004,267,0.6142322097378277,0.6534188893617475,0.23082292785439132
2005,267,0.6404494382022472,0.6372921221529403,0.22318536775695968
2006,267,0.5955056179775281,0.6693587604573448,0.23860541664207272
2007,267,0.6329588014981273,0.635366559823767,0.22253534183820126
2008,266,0.5902255639097744,0.6625585322964804,0.23528475172323407
2009,267,0.6554307116104869,0.6122227090120307,0.21155798227643424
2010,267,0.6104868913857678,0.6577519394332151,0.2329648857891174
2011,267,0.651685393258427,0.6198935034618641,0.215753021993684
2012,266,0.6428571428571429,0.6396105971841414,0.22406650917044937
2013,266,0.6353383458646616,0.6512855572840877,0.23006351102738148
2014,266,0.6428571428571429,0.6345792917440648,0.22176153152569522
2015,267,0.5730337078651685,0.6748455725386321,0.24091785086018425
2016,265,0.6150943396226415,0.644093282710684,0.22625136579811542
2017,267,0.6329588014981273,0.6401121789520189,0.22451292583002716
2018,265,0.6264150943396226,0.6265219403067366,0.21893144237519263
2019,266,0.5827067669172933,0.6631316015975152,0.23591369030898032
2020,268,0.6343283582089553,0.6502874362240763,0.22964993363379907
2021,284,0.5809859154929577,0.6692246657412332,0.2382392976845252
2022,282,0.648936170212766,0.624120400530129,0.21689378892284114
2023,285,0.5964912280701754,0.6743457847799366,0.24063541844237102
2024,285,0.624561403508772,0.6354797269679542,0.222465958606659
2025,284,0.5809859154929577,0.6625065974204438,0.23560316770685394
