C,games,accuracy,log_loss,brier
0.05,3018,0.6325381047051027,0.6382844305438709,0.22385774722171284
0.03,3018,0.6322067594433399,0.6382857474470466,0.22385912693114257
0.1,3018,0.6322067594433399,0.6382866818757276,0.22385791202910452
0.02,3018,0.6322067594433399,0.6382934311214298,0.223864319472682
0.2,3018,0.6318754141815772,0.6382937677206358,0.22386026775496456
2.0,3018,0.6318754141815772,0.6382954763023657,0.2238605584743357
3.0,3018,0.6318754141815772,0.6382955454454936,0.22386056673198557
5.0,3018,0.6318754141815772,0.6382955999866342,0.22386057322056455
10.0,3018,0.6318754141815772,0.6382956409880683,0.22386057827138936
0.3,3018,0.6318754141815772,0.6382964936942616,0.22386127345376683
1.0,3018,0.6318754141815772,0.6382980556995502,0.2238617138103179
0.5,3018,0.6318754141815772,0.6382983584071822,0.22386196993453747
0.01,3018,0.6308813783962889,0.6383622378078699,0.22389952933268195
0.005,3018,0.6298873426110007,0.6385894830876848,0.2240074298579911
